时间,事件,时期,事件主体等级,详情,来源
2021.7.16,河南省防汛指挥部发布1号指挥长令,正常期,省级,,http://yjglt.henan.gov.cn/2021/07-19/2185360.html
2021.7.18,河南省发布暴雨黄色预警,正常期,省级,河南省气象台2021年7月18日17时10分发布暴雨黄色预警：预计未来6小时内，濮阳、安阳、鹤壁、三门峡、洛阳五地区和新乡、平顶山、南阳三地区西部部分地区降水量将达50毫米以上，局部达100毫米以上，并伴有7级左右雷暴大风、1小时30到60毫米的短时强降水等强对流天气。请注意防范。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/18/ARTI1626600287150151.shtml
2021.7.18,河南省安阳市发布暴雨橙色预警,正常期,市级,安阳市气象台2021年7月18日17时25分发布暴雨橙色预警信号：我市部分地区3小时内降雨量将达50毫米以上，请注意防范强降雨可能引发的城市内涝等地质灾害。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/18/ARTI1626601216987268.shtml
2021.7.18,河南省安阳市发布暴雨红色预警,正常期,市级,安阳市气象台2021年7月18日20时25分升级发布暴雨红色预警信号：我市部分地区降雨量已达100毫米，可能或已造成一定影响。请防范强降雨可能引发的山洪地质灾害。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/18/ARTI1626613659303926.shtml
2021.7.18,河南省郑州市发布暴雨黄色预警,正常期,市级,郑州市气象台2021年7月18日21时54分发布暴雨黄色预警信号：预计未来6小时内，郑州中原区、二七区降水量将达50毫米以上，伴有小时雨强20到30毫米的短时强降水、7级以上的短时大风。请注意防范。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/18/ARTI1626617127497161.shtml
2021.7.19,河南省新乡市发布暴雨橙色预警,正常期,市级,新乡市气象台于2021年7月19日5时10分发布暴雨橙色预警信号：预计未来3小时内，新乡西部降雨量将达50毫米以上，局部超过100毫米，请做好防范准备。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/19/ARTI1626643253950857.shtml
2021.7.19,河南省发布暴雨橙色预警,正常期,省级,河南省气象台2021年7月19日11时30分继续发布暴雨橙色预警：预计未来3小时内，焦作、济源、洛阳、平顶山、郑州、新乡六地市和安阳、鹤壁两地区西部及南阳、开封两地区北部部分地区降水量将达到50毫米以上，局部达100毫米以上。请注意防范。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/19/ARTI1626666365014824.shtml
2021.7.19,河南省郑州市发布暴雨红色预警,正常期,市级,郑州市气象台2021年7月19日21时59分发布暴雨红色预警信号：目前，郑州市区局部降水量已达50毫米以上，预计未来3小时内，降水持续，累积降水量将达100毫米以上，请注意防范。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/19/ARTI1626704330709780.shtml
2021.7.19,河南省漯河市发布暴雨红色预警,正常期,市级,漯河市气象台2021年7月19日17时40分继续发布暴雨红色预警信号：预计未来3小时内，临颍县的繁城、颍西、台陈等乡镇降水量将达100毫米以上，请有关单位和人员做好防范。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/19/ARTI1626688370579779.shtml
2021.7.19,河南省发布暴雨红色预警,正常期,省级,河南省气象台2021年7月19日21时50分继续发布暴雨红色预警：目前，郑州、许昌、周口三地区部分地区降水量已达50毫米以上，预计未来3小时内，上述地区降水持续，累积降水量将达100毫米以上。请注意防范。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/19/ARTI1626703134066726.shtml
2021.7.19,河南省郑州市发布暴雨红色预警,正常期,市级,郑州市气象台2021年7月19日21时59分发布暴雨红色预警信号：目前，郑州市区局部降水量已达50毫米以上，预计未来3小时内，降水持续，累积降水量将达100毫米以上，请注意防范。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/19/ARTI1626704330709780.shtml
2021.7.20,河南省南阳市发布暴雨红色预警,爆发期,市级,南阳市气象台2021年7月20日3时22分发布暴雨红色预警信号：预计未来3小时内，内乡县南部，镇平县、南召县降雨量将达100毫米以上，请注意防范。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/20/ARTI1626722950413259.shtml
2021.7.20,河南省郑州市发布暴雨红色预警,爆发期,市级,郑州市气象台2021年7月20日6时2分发布暴雨红色预警信号：预计未来3小时内，郑州市区及所辖六县（市）降水量将达100毫米以上，请注意防范。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/20/ARTI1626733119281448.shtml
2021.7.20,河南省发布暴雨红色预警,爆发期,省级,河南省气象台2021年7月20日5时50分继续发布暴雨红色预警：目前，洛阳、平顶山、郑州三地区和许昌地区西部及南阳地区北部部分地区降水量已达50毫米以上，预计未来3小时内，上述地区降水持续，累积降水量将达100毫米以上。请注意防范。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/20/ARTI1626731867800430.shtml
2021.7.20,河南省开封市发布暴雨红色预警,爆发期,市级,开封市气象台2021年7月20日8时10分发布暴雨红色预警信号：预计未来3小时杞县降水量将出现100毫米以上或1小时降雨量将达70毫米以上，且降雨可能持续。请有关单位和人员作好防范准备。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/20/ARTI1626741676652731.shtml
2021.7.20,河南省发布暴雨红色预警,爆发期,省级,河南省气象台2021年7月20日9时0分继续发布暴雨红色预警：目前，郑州、开封、新乡三地区和焦作地区东部及洛阳地区北部部分地区降水量已达50毫米以上，预计未来3小时内，上述地区降水持续，累积降水量将达100毫米以上。请注意防范。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/20/ARTI1626743322379823.shtml
2021.7.20,河南省郑州市发布暴雨红色预警,爆发期,市级,郑州市气象台2021年7月20日9时8分继续发布暴雨红色预警信号：预计未来3小时内，郑州市区及所辖六县（市）降水量将达100毫米以上，请注意防范。（预警信息来源：国家预警信息发布中心）,http://www.cneb.gov.cn/2021/07/20/ARTI1626744367803911.shtml
2021.7.20,郑州最大小时降水：16时-17时降水量201毫米,爆发期,市级,,http://www.xinhuanet.com/local/2021-07/21/c_1127678111.htm
2021.7.20,荥阳市崔庙镇王宗店村的极端暴雨中，两座堤坝先后崩塌,爆发期,市级,,https://zx.sina.cn/push/2021-07-28/detail-ikqciyzk8130424.d.html
2021.7.20,针对河南省防汛抢险救灾工作，国家防总启动防汛Ⅲ级应急响应,爆发期,国家级,,http://www.gov.cn/xinwen/2021-07/20/content_5626238.htm
2021.7.20,郑州地铁5号线04502次列车遭遇涝水灌入，失电迫停,爆发期,市级,7月20日的暴雨导致郑州地铁多处车站和隧道被淹，郑州地铁18时10分全线网停运[80][81]。当时郑州地铁5号线五龙口停车场内的水深几乎快到2米[82]。7月20日18时左右，积水冲垮出入场线挡水墙进入5号线海滩寺站和沙口路站之间的行车隧道，导致一列编号0501的列车被困隧道内并进水[83]，车厢外积水高过车厢内，积水漫过乘客胸口，最高水位甚至到达乘客脖子。郑州地铁5号线严重内涝事故已导致14人死亡，5人受伤[10][84][81]。7月21日上午，郑州地铁官方网站变为黑白色[85],http://m.news.cctv.com/2021/07/27/ARTIVl07YIyc4kRIxrrOhi15210727.shtml
2021.7.20,郑州京广北路隧道被淹没,爆发期,市级,郑州全市有67处城市桥涵、隧道受灾[87]，其中位于京广路与陇海路交叉口的京广北路隧道是受灾最严重的地点之一。该处主线全长1835米，总高6米[88]。多位当时正在隧道内的司机对《界面新闻》表示，隧道出口从7月20日下午4点左右就开始堵车，并完全停滞不前，直到5时40分左右，水位突然上涨，在随后的几分钟内将隧道完全淹没[89]，隧道内积水一度高达13米深，造成大量车辆被困。当局自21日起使用大功率抽水机抽取隧道中的积水[90]，水位下降后，可见隧道口有大量被淹车辆逐渐显现出来，呈现不规则状堆栈，大批警力赶赴现场戒严，禁止民众靠近。两名14岁的少年X与L均在20日于隧道遭遇洪水后失联[91]，X已“确认遇难”[92]，L的家属则称X的家属错领L的遗体并火化[93]。截至7月26日，隧道中已发现6名遇难者、247辆车，相关善后工作仍在进行[94]。,http://news.cnhubei.com/content/2021-07/23/content_13955970.html
2021.7.20,郑州国家气象站出现最大日降雨量624.1毫米,爆发期,市级,,《河南郑州720特大暴雨灾害调查报告》
2021.7.20,郑州主城区普遍严重积水,爆发期,市级,主城区20日午后普遍严重积水，路面最大水深近2.6 米，导致全市超过一半（2067 个）的小区地下空间和重要公共设施受淹，多个区域断电断水断网，道路交通断行,《河南郑州720特大暴雨灾害调查报告》
2021.7.20,民间救援组织发起在线文档《待救援人员信息》上线,爆发期,-,,https://finance.sina.com.cn/tech/2021-07-22/doc-ikqcfnca8287007.shtml
2021.7.21,郑州最大24小时降水,爆发期,市级,20日凌晨4时至21日凌晨4时的降水为郑州最大24小时降水，达到了645.6毫米[33]。郑州以往的平均年降水量为640.8毫米,https://web.archive.org/web/20210722132158/https://new.qq.com/omn/20210721/20210721A0ESZA00.html
2021.7.21,7月21日凌晨3点省河南防汛抗旱指挥部将防汛应急响应提升为Ⅰ级,爆发期,省级,记者从河南省防办获悉，根据《河南省防汛应急预案》有关规定，经会商研判并报河南省防汛抗旱指挥部指挥长批准，河南省防指决定于7月21日凌晨3时将防汛应急响应级别由Ⅱ级提升为Ⅰ级。 ,http://www.xinhuanet.com/local/2021-07/21/c_1127676255.htm
2021.7.21,7月21日凌晨3点国家防总将防汛Ⅲ级应急响应提升至Ⅱ级,爆发期,国家级,,https://www.mem.gov.cn/xw/bndt/202107/t20210721_392454.shtml
2021.7.21,华中阜外医院一楼被淹没，停水停电，千人被困,爆发期,市级,,https://finance.sina.com.cn/jjxw/2021-07-21/doc-ikqcfnca8149984.shtml
2021.7.21,央视新闻紧急开通“河南暴雨紧急互助平台”,爆发期,国家级,2021年7月21日，央视新闻紧急开通“河南暴雨紧急互助平台”，为河南暴雨受灾群众提供信息救助通道。,https://baike.baidu.com/reference/58049502/a417ke3dHuUTy_dsFPZkaBgOR0Ss4-APnhWMrgiHyrWS60MHb3EHzZ2t-TgsAoCgKywd55bHKYyxjfAexzcuVjToP8eRaMHoc_LIK_UdgCi_swMSAq0kAQj-0kMvLMbdNCgC
2021.7.21,《交通运输部办公厅关于切实做好城市轨道交通防汛工作的紧急通知》,爆发期,国家级,中华人民共和国交通运输部7月21日印发《交通运输部办公厅关于切实做好城市轨道交通防汛工作的紧急通知》，要求运营单位立即对风险隐患进行再排查再整治，对超设计暴雨强度等非常规情况下采取停运列车，疏散乘客，关闭车站等应急措施，并指出当发生内涝倒灌等突发事件时，不具备安全运行条件的应坚决停运,http://jtt.hebei.gov.cn/jtyst/jtzx/styw/101626793204135.html
2021.7.21,财政部、应急管理部预拨救灾资金,爆发期,国家级,7月21日，财政部、应急管理部向河南省预拨救灾资金6000万元，用于地方抗洪抢险救援。另外财政部拨付资金4000万元，用于灾区农业生产恢复和修复水毁水利工程设施,https://www.yicai.com/news/101117034.html
2021.7.21,企业界捐款捐物迅速驰援河南,爆发期,-,,http://finance.people.com.cn/n1/2021/0721/c1004-32165198.html
2021.7.22,国家防总工作组赴河南新乡指导防汛救灾工作 现场协调组织被洪水围困村庄救援,爆发期,国家级,,http://www.xinhuanet.com/politics/2021-07/23/c_1127685434.htm
2021.7.22,大象新闻发布新乡暴雨24小时救援电话,爆发期,市级,,https://weibo.com/7308140398/KpTNrxfGC
2021.7.23,河雨降雨逐渐减弱结束,爆发期,省级,,《河南郑州720特大暴雨灾害调查报告》
2021.7.23,卫辉市政府发布公告要求蓄滞洪区居民撤离,爆发期,市级,卫辉市人民政府7月23日发布公告，决定于7月23日12时30分启用柳位坡蓄滞洪区，要求蓄滞洪区范围内居民群众立即撤离,https://mp.weixin.qq.com/s/mtE4Qay0_DaBL0yRVjuJew
2021.7.23,郑州希岸酒店“趁雨涨价”被罚50万,爆发期,市级,,http://henan.people.com.cn/n2/2021/0723/c351638-34834807.html
2021.7.23,河南应急管理厅发布【新乡市防汛抗旱指挥部第 4 号公告】，发布新乡接受捐赠救援电话,爆发期,省级,,https://wap.peopleapp.com/article/6259255/6156558
2021.7.24,郑州7名牺牲党员干部名单公布,爆发期,市级,,http://www.xinhuanet.com/local/2021-07/24/c_1127690356.htm
2021.7.24,新乡防汛抗旱指挥部发布公告,爆发期,市级,7月24日傍晚，新乡市防汛抗旱指挥部发布第5号公告：受连续降水和上游洪水集中下泻影响，新乡市河渠迎来第二次洪峰，共产主义渠出现洪水漫堤，涌入卫河，致使卫河水位抬升，排泄能力下降,https://www.sohu.com/a/479370759_161795
2021.7.25,卫辉审计局发博内涝严重，请求支援,衰退期,市级,,https://weibo.com/1250198210/Kqr41j5wp?refer_flag=1001030103_
2021.7.25,河南上线防汛社会互助平台,衰退期,省级,,https://www.sohu.com/a/479464607_162758
2021.7.25,国家防总工作组开赴一线,衰退期,国家级,国家防总工作组7月25日赴河南省开封市、周口市，继续深入一线指导防汛救灾工作。同日，工作组救灾小组分成6个小组，分别赴郑州、新乡、鹤壁、安阳、焦作、周口等6个重灾市开展工作，分析郑州、新乡、安阳、鹤壁等有关城市过境及周边河湖水系、城区排水防涝系统现状及相关规划建设管理情况，研究上述地方抢排积水工作,http://www.gov.cn/xinwen/2021-07/25/content_5627186.htm
2021.7.25,新乡防汛抗旱指挥部发布公告《请给卫辉让出救援通道》,衰退期,市级,,https://www.sohu.com/a/479629459_260616
2021.7.26,卫辉电视台主持人：“卫辉需要你！”呼吁大家关注河南卫辉。 ​,衰退期,市级,,https://news.sina.cn/kx/2021-07-26/detail-ikqcfnca9162449.d.html
2021.7.26,救援队呼吁网红和明星为救援让路：不要在现场“帮倒忙、造人设”,衰退期,-,,https://www.sohu.com/a/479703365_113767
2021.7.27,郑州地铁5号线“7·20事件”14人不幸遇难 名单公布,衰退期,市级,,https://news.cctv.com/2021/07/27/ARTI2tTjleFVdLExAInyzssJ210727.shtml
2021.7.28,河南省政府研究出台《关于加快灾后恢复重建的若干政策措施》 ,衰退期,省级,,https://app.dahecube.com/nweb/news/20210729/103407n4700c3ac4ba.htm?artid=103407
2021.7.30,河南相继启用8座蓄滞洪区泄洪,衰退期,省级,河南相继启用8座蓄滞洪区缓解卫河、共渠压力 累计蓄滞洪水7亿立方米】7月30日，在省政府新闻办召开的新闻发布会上，省水利厅党组成员、副厅长任强就公众关注的问题回答记者提问。从7月21日至30日相继启用8座蓄滞洪区。累计转移人口40.46万人,https://weibo.cn/comment/Kr9D6v9tp?ckAll=1
2021.7.30,财政部、应急管理部向河南预拨10亿元中央自然灾害救灾资金 进一步支持做好防汛救灾工作,衰退期,国家级,,https://www.mem.gov.cn/xw/yjglbgzdt/202107/t20210730_393372.shtml
